Edge ID,from,to,Speed Limit (km/h),Average Speed (km/h)
-E1,J40,J15,50.004,45.248
-E10,J193,J25,50.004,50.004
-E106,J54,J58,50.004,48.235
-E11,J194,J47,50.004,48.32
-E111,J95,J44,50.004,47.52
-E12,J20,J19,50.004,49.789
-E121,J58,J35,50.004,44.24
-E128,J100,J136,50.004,49.169
-E129,J109,J95,50.004,48.507
-E13,J11,J20,50.004,49.154
-E135,J110,J109,50.004,48.241
-E14,J6,J2,50.004,48.758
-E140,J118,J95,50.004,49.944
-E142,J109,J118,50.004,49.899
-E143,J62,J120,50.004,49.511
-E144,J120,J95,50.004,45.931
-E145,J101,J56,50.004,47.816
-E146,J122,J120,50.004,49.54
-E147,J123,J109,50.004,49.108
-E148,J124,J123,50.004,49.599
-E149,J124,J122,50.004,49.825
-E15,J22,J20,50.004,50.004
-E150,J123,J122,50.004,49.609
-E151,J125,J124,50.004,49.689
-E152,J90,J125,50.004,49.82
-E153,J126,J110,50.004,49.682
-E154,J90,J126,50.004,49.692
-E155,J125,J126,50.004,49.788
-E157,J127,J119,50.004,49.7
-E16,J3,J6,50.004,49.163
-E161,J29,J135,50.004,49.874
-E162,J136,J29,50.004,49.226
-E163,J137,J136,50.004,49.466
-E164,J138,J137,50.004,48.624
-E165,J139,J138,50.004,49.841
-E166,J140,J136,50.004,49.66
-E167,J140,J141,50.004,49.989
-E168,J4,J140,50.004,49.869
-E169,J13,J4,50.004,49.736
-E17,J25,J11,50.004,49.64
-E172,J56,J142,50.004,48.489
-E173,J74,J56,50.004,48.245
-E174,J77,J74,50.004,47.127
-E175,J127,J77,50.004,46.284
-E177,J129,J114,50.004,47.724
-E178,J204,J1,50.004,46.046
-E179,J74,J101,50.004,49.531
-E18,J7,J6,50.004,49.332
-E19,J26,J11,50.004,49.755
-E192,J121,J101,50.004,49.839
-E196,J77,J121,50.004,49.877
-E199,J131,J128,50.004,49.415
-E2,J2,J31,50.004,48.921
-E20,J27,J26,50.004,50.004
-E200,J133,J128,50.004,49.676
-E201,J133,J114,50.004,49.207
-E202,J131,J133,50.004,49.347
-E205,J131,J134,50.004,50.051
-E21,J28,J26,50.004,49.093
-E213,J33,J32,50.004,49.535
-E22,J25,J28,50.004,49.186
-E222,J174,J186,50.004,49.233
-E228,J134,J133,50.004,49.717
-E23,J31,J30,50.004,49.96
-E235,J110,J114,50.004,48.506
-E236,J212,J42,50.004,49.507
-E24,J56,J55,50.004,47.294
-E242,J186,J131,50.004,48.519
-E243,J187,J186,50.004,49.793
-E244,J188,J187,50.004,48.389
-E25,J12,J32,50.004,49.854
-E258,J205,J203,50.004,50.004
-E26,J33,J25,50.004,49.792
-E260,J134,J129,50.004,49.731
-E264,J206,J16,50.004,50.004
-E265,J207,J206,50.004,50.004
-E266,J208,J207,50.004,49.873
-E267,J17,J208,50.004,49.767
-E268,J209,J17,50.004,49.993
-E269,J18,J209,50.004,49.283
-E27,J9,J7,50.004,49.692
-E28,J12,J33,50.004,49.546
-E29,J9,J3,50.004,49.802
-E3,J34,J38,50.004,47.907
-E30,J36,J12,50.004,47.12
-E305,J225,J129,50.004,48.929
-E31,J37,J28,50.004,49.14
-E32,J36,J37,50.004,49.061
-E326,J230,J54,50.004,47.204
