Edge ID,from,to,Speed Limit (km/h),Average Speed (km/h)
-E0,J52,J11,50.004,0
-E10,J33,J13,30.6,0.644
-E11,J25,J13,50.004,0.645
-E12,J26,J25,50.004,0.654
-E13,J29,J25,50.004,0.973
-E22,J42,J12,50.004,0.307
-E24,J45,J44,50.004,0.997
-E25,J46,J45,50.004,0.314
-E26,J49,J45,50.004,0.344
-E31,J12,J52,50.004,0.455
-E32,J54,J45,50.004,0.198
-E33,J55,J54,50.004,0.844
-E34,J56,J55,50.004,0.073
-E35,J52,J56,50.004,0.697
-E38,J59,J56,50.004,0.833
-E39,J60,J56,50.004,0.91
-E42,J68,J11,50.004,0.314
-E43,J69,J11,50.004,0.032
-E46,J73,J52,30.6,0.096
-E47,J74,J73,30.6,0.54
-E48,J44,J74,30.6,0.909
-E49,J54,J74,30.6,0.245
-E5,J12,J11,50.004,0.074
-E50,J55,J73,30.6,0.796
-E51,J33,J25,50.004,0.2
-E52,J44,J33,50.004,0.869
-E6,J13,J12,50.004,0.565
E0,J11,J52,50.004,0.464
E10,J13,J33,30.6,0.134
E11,J13,J25,50.004,0.601
E12,J25,J26,50.004,0.976
E13,J25,J29,50.004,0.829
E22,J12,J42,50.004,0.115
E24,J44,J45,50.004,0.103
E25,J45,J46,50.004,0.864
E26,J45,J49,50.004,0.684
E31,J52,J12,50.004,0.267
E32,J45,J54,50.004,0.405
E33,J54,J55,50.004,0.559
E34,J55,J56,50.004,0.262
E35,J56,J52,50.004,0.216
E38,J56,J59,50.004,0.134
E39,J56,J60,50.004,0.851
E42,J11,J68,50.004,0.004
E43,J11,J69,50.004,0.671
E46,J52,J73,30.6,0.631
E47,J73,J74,30.6,0.496
E48,J74,J44,30.6,0.688
E49,J74,J54,30.6,0.097
E5,J11,J12,50.004,0.054
E50,J73,J55,30.6,0.646
E51,J25,J33,50.004,0.356
E52,J33,J44,50.004,0.032
E6,J12,J13,50.004,49.388
