Junction ID,X Coordinate,Y Coordinate
J11,-250.37,195.12
J12,-248.83,-24.77
J13,-247.39,-200.80
J25,-230.26,-675.52
J26,-234.53,-1038.14
J29,-635.12,-669.36
J33,-103.46,-675.05
J42,-649.15,-24.87
J44,70.45,-656.21
J45,361.18,-658.00
J46,364.42,-1008.30
J49,755.69,-660.97
J52,44.03,-17.98
J54,357.84,-526.64
J55,355.11,-269.11
J56,349.22,-9.77
J59,718.60,-1.72
J60,343.16,510.60
J68,-252.56,489.68
J69,-650.00,195.28
J73,69.60,-271.82
J74,76.48,-526.63
:J11_19_0,-243.57,194.75
:J11_20_0,-249.42,186.53
:J11_21_0,-259.38,194.19
:J11_22_0,-251.33,203.93
:J12_20_0,-239.78,-23.62
:J12_21_0,-247.87,-33.38
:J12_22_0,-257.15,-25.60
:J12_23_0,-249.78,-15.99
:J13_11_0,-248.22,-198.40
:J25_20_0,-221.44,-674.55
:J25_21_0,-229.60,-683.38
:J25_22_0,-239.11,-676.23
:J25_23_0,-231.60,-665.91
:J33_11_0,-107.89,-675.86
:J44_11_0,66.38,-656.91
:J45_20_0,369.97,-657.18
:J45_21_0,362.11,-666.54
:J45_22_0,352.19,-658.84
:J45_23_0,360.02,-648.89
:J52_17_0,48.86,-16.97
:J52_18_0,43.77,-22.75
:J52_19_0,34.39,-19.09
:J52_20_0,39.41,-8.89
:J54_11_0,358.84,-530.78
:J55_11_0,356.01,-273.29
:J56_20_0,357.83,-8.70
:J56_21_0,350.34,-18.61
:J56_22_0,340.48,-10.91
:J56_23_0,348.26,-1.23
:J73_6_0,68.23,-268.74
:J74_6_0,75.33,-523.41
